Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Early Dynastic Period of Egypt / 古埃及（早王朝时期）,-3150,-2686,Ancient Egyptian / 古埃及,Archaic Egyptian / 远古埃及语,Ancient Egyptian Religion / 古埃及宗教,Narmer / 那尔迈,Thinis / 提尼斯,Girga / 吉尔贾,EGY,North Africa / 北非,464,30,1,,A,D,D,B,C,S,B,B,C,,55
Old Kingdom of Egypt / 古埃及（古王国）,-2686,-2181,Ancient Egyptian / 古埃及,Old Egyptian / 古埃及语,Ancient Egyptian Religion / 古埃及宗教,Djoser / 左塞尔,Memphis / 孟菲斯,Mit Rahina / 拉希纳,EGY,North Africa / 北非,505,50,1.5,,S,D,D,A,C,A,B,A,B,,59
Akkadian Empire / 阿卡德帝国,-2334,-2154,Akkadian / 阿卡德,Akkadian / 阿卡德语,Mesopotamia Polytheism / 美索不达米亚多神教,Sargon / 萨尔贡,Akkad / 阿卡德,Tigris River Valley / 底格里斯河谷,IRQ,West Asia / 西亚,180,450,3,,B,C,C,B,B,A,B,B,C,,58
Gutian Dynasty / 库提王朝,-2220,-2119,Guti / 库提,Gutian / 库提语,Mesopotamia Polytheism / 美索不达米亚多神教,Erridupizir / 埃里杜皮齐尔,Adab / 阿达卜,Sumer / 苏美尔,IRQ,West Asia / 西亚,101,90,1,,B,D,D,D,D,D,D,D,D,,22
Seventh-Eighth Dynasty of Egypt / 古埃及（第七-第八王朝）,-2181,-2160,Ancient Egyptian / 古埃及,Old Egyptian / 古埃及语,Ancient Egyptian Religion / 古埃及宗教,Menkare / 门卡雷,Memphis / 孟菲斯,Mit Rahina / 拉希纳,EGY,North Africa / 北非,21,20,1,,D,D,D,D,D,C,D,D,D,,23
Ninth-Tenth Dynasty of Egypt / 古埃及（第九-第十王朝）,-2160,-2050,Ancient Egyptian / 古埃及,Old Egyptian / 古埃及语,Ancient Egyptian Religion / 古埃及宗教,Meryibre Khety / 梅里伊布拉赫提,Heracleopolis Magna / 赫拉克利奥波利斯,Beni Suef / 贝尼苏韦夫,EGY,North Africa / 北非,110,30,1.2,,B,D,D,C,C,B,C,C,C,,40
Early Eleventh Dynasty of Egypt / 古埃及（第十一王朝早期）,-2150,-2061,Ancient Egyptian / 古埃及,Old Egyptian / 古埃及语,Ancient Egyptian Religion / 古埃及宗教,Intef the Elder / 长者英特夫,Thebes / 底比斯,Luxor / 卢克索,EGY,North Africa / 北非,89,30,1.2,,C,D,D,C,C,C,C,C,C,,36
Third Dynasty of Ur / 乌尔第三王朝,-2112,-2004,Sumer / 苏美尔,Sumerian / 苏美尔语,Mesopotamia Polytheism / 美索不达米亚多神教,Ur-Namma / 乌尔纳姆,Ur / 乌尔,Nasiriyah / 纳西里耶,IRQ,West Asia / 西亚,108,160,2.5,,B,C,D,A,B,A,B,A,B,,62
Xia / 夏,-2070,-1600,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Yu / (姒)禹,Zhenxun / 斟鄩,Luoyang / 洛阳,CHN,East Asia / 东亚,470,200,3,,A,C,C,D,C,B,D,C,C,,39
Middle Kingdom of Egypt / 古埃及（中王国）,-2060,-1650,Ancient Egyptian / 古埃及,Middle Egyptian / 中古埃及语,Ancient Egyptian Religion / 古埃及宗教,Mentuhotep II / 曼图霍特普二世,Thebes / 底比斯,Luxor / 卢克索,EGY,North Africa / 北非,410,300,2,,A,C,D,A,B,A,B,A,B,,63
